FID,gid,capacity_factor
west_wind_site_metadata.90010,90010,34.5
west_wind_site_metadata.90011,90011,33.5625
west_wind_site_metadata.90012,90012,33.96875
west_wind_site_metadata.90013,90013,33.28125
west_wind_site_metadata.90014,90014,32.90625
west_wind_site_metadata.90015,90015,20.5
west_wind_site_metadata.90016,90016,17.953125
west_wind_site_metadata.90017,90017,23.984375
west_wind_site_metadata.90018,90018,35.5625
west_wind_site_metadata.90019,90019,34.5625
west_wind_site_metadata.90020,90020,35.09375
west_wind_site_metadata.90021,90021,34.1875
west_wind_site_metadata.90022,90022,34.15625
west_wind_site_metadata.90023,90023,33.71875
west_wind_site_metadata.90024,90024,32.9375
west_wind_site_metadata.90025,90025,20.8125
west_wind_site_metadata.90026,90026,20.34375
west_wind_site_metadata.90027,90027,22.234375
west_wind_site_metadata.90028,90028,34.46875
west_wind_site_metadata.90029,90029,33.375
west_wind_site_metadata.90030,90030,34
west_wind_site_metadata.90031,90031,33.28125
west_wind_site_metadata.90032,90032,33.46875
west_wind_site_metadata.90033,90033,33.15625
west_wind_site_metadata.90034,90034,18.1875
west_wind_site_metadata.90035,90035,18.359375
west_wind_site_metadata.90036,90036,18.421875
west_wind_site_metadata.90037,90037,34.15625
west_wind_site_metadata.90038,90038,33.71875
west_wind_site_metadata.90039,90039,34.84375
west_wind_site_metadata.90040,90040,33.71875
west_wind_site_metadata.90041,90041,33.90625
west_wind_site_metadata.90042,90042,33.375
west_wind_site_metadata.90043,90043,33.28125
west_wind_site_metadata.90044,90044,32.96875
west_wind_site_metadata.90045,90045,17.546875
west_wind_site_metadata.90046,90046,32.9375
west_wind_site_metadata.90047,90047,33.9375
west_wind_site_metadata.90048,90048,32.90625
west_wind_site_metadata.90049,90049,33.21875
west_wind_site_metadata.90050,90050,32.8125
west_wind_site_metadata.90051,90051,32.75
west_wind_site_metadata.90052,90052,32.40625
west_wind_site_metadata.90053,90053,16.25
west_wind_site_metadata.90054,90054,20.15625
west_wind_site_metadata.90055,90055,31.65625
west_wind_site_metadata.90056,90056,33.59375
west_wind_site_metadata.90057,90057,32.8125
west_wind_site_metadata.90058,90058,33.71875
west_wind_site_metadata.90059,90059,32.71875
west_wind_site_metadata.90060,90060,32.75
west_wind_site_metadata.90061,90061,32.4375
west_wind_site_metadata.90062,90062,32.25
west_wind_site_metadata.90063,90063,31.84375
west_wind_site_metadata.90064,90064,19.3125
west_wind_site_metadata.90065,90065,32.53125
west_wind_site_metadata.90066,90066,31.609375
west_wind_site_metadata.90067,90067,32.40625
west_wind_site_metadata.90068,90068,31.453125
west_wind_site_metadata.90069,90069,31.5
west_wind_site_metadata.90070,90070,31.1875
west_wind_site_metadata.90071,90071,31.109375
west_wind_site_metadata.90072,90072,32.28125
west_wind_site_metadata.90073,90073,31.40625
west_wind_site_metadata.90074,90074,31.4375
west_wind_site_metadata.90075,90075,30.734375
west_wind_site_metadata.90076,90076,30.34375
west_wind_site_metadata.90077,90077,30.078125
west_wind_site_metadata.90078,90078,29.78125
west_wind_site_metadata.90079,90079,29.421875
west_wind_site_metadata.90080,90080,18.984375
west_wind_site_metadata.90081,90081,29
west_wind_site_metadata.90082,90082,29.34375
west_wind_site_metadata.90083,90083,20.09375
west_wind_site_metadata.90084,90084,21.34375
west_wind_site_metadata.90085,90085,24.609375
west_wind_site_metadata.90086,90086,28.734375
west_wind_site_metadata.90087,90087,28.4375
west_wind_site_metadata.90088,90088,23.578125
west_wind_site_metadata.90089,90089,17.84375
west_wind_site_metadata.90090,90090,19
west_wind_site_metadata.90091,90091,23.875
west_wind_site_metadata.90092,90092,30.625
west_wind_site_metadata.90093,90093,30.515625
west_wind_site_metadata.90094,90094,29.90625
west_wind_site_metadata.90095,90095,32.28125
west_wind_site_metadata.90096,90096,32.28125
west_wind_site_metadata.90097,90097,31.734375
west_wind_site_metadata.90098,90098,31.859375
west_wind_site_metadata.90099,90099,33.3125
west_wind_site_metadata.90100,90100,33.125
west_wind_site_metadata.90101,90101,22.78125
west_wind_site_metadata.90102,90102,23.359375
west_wind_site_metadata.90103,90103,32.75
west_wind_site_metadata.90104,90104,34.09375
west_wind_site_metadata.90105,90105,23.3125
west_wind_site_metadata.90106,90106,32.75
west_wind_site_metadata.90107,90107,34.78125
